symbol,shares
DIAX,53586
DIN,699217
DINT,74149
DIOD,3083090
DIS,12193691
DISCA,18689727
DISCB,3548
DISCK,20607418
DISH,17280364
DISHR,4580446
DJCO,23523
DK,2854768
DKL,55789
DKS,5092875
DKT,228623
DL,84613
DLB,835817
DLHC,86622
DLNG,91436
DLNG$A,3327
DLNG$B,2225
DLPH,2359450
DLPN,2048758
DLPNW,59673
DLR,4474673
DLR$C,3981
DLR$G,6453
DLR$I,5673
DLR$J,1478
DLR$K,7352
DLR$L,43369
DLTH,4949691
DLTR,20050138
DLX,499536
DMAC,372253
DMB,30872
DMLP,429361
DMO,72673
DMPI,1215559
DMRC,980514
DMTK,430046
DNI,30455
DNJR,0
DNKN,4731932
DNLI,2409979
DNOW,1988254
DNP,190349
DNR,22813742
DO,8193861
DOC,2799013
DOCU,14189773
DOGZ,306266
DOMO,7688835
DOOO,448809
DOOR,234865
DORM,1293875
DOV,2402412
DOW,5647145
DOX,5898591
DOYU,14184559
DPG,70205
DPHC,65899
DPHCU,38624
DPHCW,0
DPLO,5056632
DPZ,2346076
DQ,601337
DRAD,179390
DRADP,96971
DRD,102319
DRE,4599247
DRH,5308092
DRI,4203478
DRIO,2148129
DRIOW,236916
DRIV,28211
DRNA,5686887
DRQ,602401
DRRX,5679577
DRTT,165791
DRUA,29273
DS,512611
DS$B,115
DS$C,1800
DS$D,354
DSE,115913
DSGX,576771
DSKE,1747576
DSKEW,765744
DSL,396647
DSLV,558868
DSM,97510
DSPG,991170
DSSI,717270
DSU,164796
DSWL,15823
DSX,383342
DSX$B,1152
DT,3931699
DTE,2989325
DTEA,306340
DTF,23327
DTIL,12460003
DTJ,3371
DTLA$,10934
DTP,62462
DTQ,9936
DTSS,73202
DTW,7291
DTY,6158
DUC,28173
DUK,6897767
DUK$A,38875
DUKB,10327
DUKH,12939
DUO,72657
DUSA,26413
DVA,3523562
DVAX,9256359
DVD,15171
DVLU,32209
DVN,13409845
DVOL,218155
DVY,2602539
DWAQ,12997
DWAS,48156
DWAT,34803
DWAW,2184
DWCR,1041
DWEQ,8253
DWFI,27498
DWIN,9481
DWLD,59221
DWMC,966
DWPP,11901
DWSH,146527
DWSN,309380
DWTR,9882
DWUS,1000
DX,326639
DX$A,937
DX$B,4974
DXB,34564
DXC,8432190
DXCM,5674748
DXGE,2891
DXJS,16529
DXLG,220211
DXPE,639828
DXYN,239456
DY,1058057
DYAI,494570
DYNT,307199
DZSI,540937
E,543981
EA,17183640
EAB,1139
EAE,1440
EAF,7378925
EAI,12138
EARN,54839
EARS,764850
EAST,163675
EAT,1719228
EB,1391670
EBAY,55491666
EBAYL,356627
EBF,127280
EBIX,2053523
EBIZ,11159
EBMT,160432
EBR,575193
EBR.B,19250
EBS,652309
EBSB,1061982
EBTC,117310
EC,1326300
ECA,31497199
ECC,209796
ECCA,2606
ECCB,1976
ECCX,2428
ECCY,3930
ECHO,2164697
ECL,2579323
ECOL,1355118
ECOLW,76377
ECOM,166728
ECOR,1144597
ECOW,4469
ECPG,2293700
ECT,74203
ED,4393310
EDAP,645271
EDD,160669
EDF,54978
EDI,32726
EDIT,6360780
EDN,180211
EDNT,916655
EDRY,23734
EDSA,85271
EDTX,204770
EDTXU,20516
EDTXW,321137
EDU,2175453
EDUC,46239
EE,321589
EEA,11161
EEFT,2361958
EEFT26,0
EEI,36074
EEMA,94419
EEX,168719
EFAS,16897
EFBI,18289
EFC,472639
EFC$A,7317
EFF,23826
EFL,66940
EFOI,358290
EFR,283951
EFSC,901422
EFT,176599
EFX,1610975
EGAN,678155
EGBN,2218654
EGF,10812
EGHT,2717380
EGIF,41484
EGLE,1846579
EGO,3920801
EGOV,2969768
EGP,424258
EGRX,1411566
EGY,163029
EH,1221793
EHC,1478866
EHI,81460
EHT,26063
EHTH,3755289
EIC,7229
EIDX,981952
EIG,251708
EIGI,1848169
EIGR,1479351
EIX,5919413
EKSO,3736728
EL,3348817
ELAN,6678683
ELC,8360
ELF,1671319
ELGX,962617
ELJ,2773
ELOX,2100184
ELP,1568461
ELS,2510830
ELSE,8403
ELTK,152762
ELU,1364
ELVT,160570
ELY,1564190
EMB,12417215
EMCB,5109
EMCF,9393
EMCG,6475
EMD,179445
EME,351018
EMF,41017
EMIF,18513
EMKR,422827
EML,83472
EMMS,473782
EMN,2909783
EMO,1064291
EMP,5382
EMR,6483226
EMXC,24177
ENB,5135848
ENBA,19829
ENBL,2283383
ENDP,40684974
ENFC,172687
ENG,284935
ENIA,3389323
ENIC,1150323
ENJ,2826
ENLC,8499973
ENLV,67339
ENO,8758
ENOB,1507151
ENPH,24254133
ENR,2044355
ENR$A,8103
ENS,460598
ENSG,2001079
ENT,935141
ENTA,1752120
ENTG,4344475
ENTX,285606
ENTXW,37302
ENV,820251
ENVA,378678
ENZ,83126
ENZL,156655
EOD,105658
EOG,10977239
EOI,54100
EOLS,3545462
EOS,67234
EOT,31089
EP$C,7723
EPAC,874348
EPAM,603895
EPAY,2587316
EPC,1233759
EPD,13031956
EPIX,134648
EPR,1320115
EPR$C,775
EPR$E,684
EPR$G,3398
EPRT,1400515
EPSN,272188
EPZM,8092525
EQ,360895
EQBK,371522
EQC,1227012
EQC$D,3008
EQH,5867182
EQH$A,758645
EQIX,3228226
EQM,1988989
EQNR,6725666
EQR,5492677
EQRR,2820
EQS,4141
EQT,16287536
ERA,193659
ERF,1300446
ERI,6696248
ERIC,20531334
ERIE,885559
ERII,1557660
ERJ,1570670
EROS,7327196
ERYP,10621
ES,4793528
ESBK,45109
ESCA,136509
ESE,244724
ESEA,410229
ESGD,193326
ESGE,478031
ESGR,308815
ESGRO,105863
ESGRP,133537
ESGU,83250
ESI,5627145
ESLT,116709
ESNT,1041195
ESPO,38743
ESPR,4046929
ESQ,211309
ESRT,2906638
ESS,1105405
ESSA,107355
ESTA,681077
ESTC,4877232
ESTE,250038
ESTR,2588993
ESTRW,385751
ESXB,242130
ET,34374077
ETB,41382
ETFC,20977071
ETG,137634
ETH,442853
ETI$,735
ETJ,126921
ETM,1562532
ETN,5045690
ETNB,892081
ETO,52759
ETON,348217
ETP$C,44329
ETP$D,43470
ETP$E,95967
ETR,3870913
ETRN,8114194
ETSY,15577655
ETTX,65444
ETV,298124
ETW,161198
ETX,12428
ETY,226810
EUFN,3292918
EURN,3280408
EV,1551475
EVA,88612
EVBG,2630693
EVC,348721
EVER,3175933
EVF,114042
EVFM,837392
EVG,37552
EVGBC,0
EVGN,68284
EVH,5248912
EVK,7689
EVLMC,0
EVLO,501977
EVN,71414
EVOK,855878
EVOL,503154
EVOP,4727871
EVR,885724
EVRG,4560182
EVRI,2590674
EVSI,281957
EVSIW,66438
EVSTC,0
EVT,45435
EVTC,712492
EW,3822060
EWBC,7805198
EWJE,4122
EWJV,25347
EWZS,341758
EXAS,12419106
EXC,42215768
EXD,50398
EXEL,19243676
EXFO,250361
EXG,537915
EXK,4732267
EXLS,1578137
EXP,837612
EXPC,23233
EXPCU,190804
EXPCW,0
EXPD,10011540
EXPE,27538588
EXPI,1786054
EXPO,2413741
EXPR,6157830
EXR,2526306
EXTN,608741
EXTR,9792810
EYE,3904364
EYEG,872823
EYEGW,201614
EYEN,504688
EYES,1077796
EYESW,64837
EYPT,2367553
EZPW,6235398
EZT,2050
F,55775310
F$B,81319
F$C,444928
FAAR,5052
FAB,3884
FAD,7507
FAF,1735880
FALN,94696
FAM,35563
FAMI,357895
FANG,14738926
FANH,1040498
FARM,513661
FARO,1195564
FAST,25120957
FAT,31242
FATE,7974597
FB,83562621
FBC,602276
FBHS,2658611
FBIO,1661837
FBIOP,53456
FBIZ,109345
FBK,71918
FBM,1088747
FBMS,574072
FBNC,738015
FBP,1697554
FBSS,5653
FBZ,22969
FC,105624
FCA,3250
FCAL,15159
FCAN,3188
FCAP,83646
FCAU,9528897
FCBC,262687
FCBP,231294
FCCO,52582
FCCY,276548
FCEF,6063
FCEL,104081051
FCF,609835
FCFS,2279857
FCN,416661
FCNCA,317530
FCPT,650794
FCSC,175932
FCT,114180
FCVT,126654
FCX,40415552
FDBC,49757
FDEF,705851
FDEU,54335
FDIV,14452
FDNI,14065
FDP,353764
FDS,970629
FDT,78529
FDTS,422
FDUS,763678
FDUSG,18780
FDUSL,6365
FDUSZ,21707
FDX,9172091
FE,7883075
FEDU,20205
FEI,254722
FEIM,143989
FELE,1438994
FEM,381661
FEMB,106743
FEMS,71400
FENC,183725
FENG,167785
FEO,22781
FEP,68537
FET,1741573
FEUZ,3941
FEX,101907
FEYE,21757735
FF,234879
FFA,52414
FFBC,4519821
FFBW,56547
FFC,61919
FFG,35120
FFHL,122951
FFIC,759285
FFIN,3789294
FFIV,5895704
FFNW,108354
FFWM,789470
FG,1933603
FG.W,2537
FGB,46156
FGBI,96387
FGEN,5784131
FGM,7853
FGP,518425
FHB,4283844
FHK,1005
FHN,8681915
FHN$A,701
FI,812896
FIBK,1640628
FICO,468067
FID,4796
FIF,59597
FII,800641
FINS,28354
FINV,2407547
FINX,261956
FIS,6484117
FISI,271164
FISV,20845566
FISV23,0
FISV25,0
FISV27,0
FISV30,0
FISV31,0
FIT,14301852
FITB,31657917
FITBI,141756
FITBO,174589
FITBP,61550
FIV,66246
FIVE,8273011
FIVN,3638876
FIX,488336
FIXD,351838
FIXX,2791271
FIZZ,3998436
FJP,22918
FKO,13898
FKU,68410
FL,8546339
FLC,16677
FLDM,5039825
FLEX,22447450
FLGT,1507519
FLIC,462717
FLIR,5242249
FLL,471340
FLLC,341646
FLLCR,251940
FLLCU,244715
FLLCW,99900
FLMN,2101421
FLMNW,33127
FLN,13338
FLNG,6495
FLNT,1736297
FLO,1872237
FLOW,515970
FLR,6723044
FLS,2142277
FLT,2339802
FLWS,2679991
FLXN,6849586
FLXS,249820
FLY,147001
FMAO,162590
FMB,169239
FMBH,256525
FMBI,6223359
FMC,2329467
FMCI,130221
FMCIU,141
FMCIW,36550
FMHI,30214
FMK,1065
FMN,20890
FMNB,342947
FMO,483413
FMS,1128536
FMX,1039696
FMY,4500
FN,443108
FNB,4129567
FNB$E,5132
FNCB,194013
FND,2502315
FNF,2806277
FNHC,578721
FNJN,336100
FNK,4705
FNKO,5212213
FNLC,124609
FNV,1505638
FNWB,124172
FNX,42496
FNY,25552
FOCS,1811532
FOE,1216973
FOF,32319
FOLD,22461071
FOMX,2361656
FONR,106966
FOR,180265
FORD,92031
FORK,43068
FORM,5594877
FORR,522130
FORTY,2312
FOSL,9491549
FOX,8505034
FOXA,26457815
FOXF,1328088
FPA,54877
FPAC,30238
FPAC.U,43831
FPAC.W,45600
FPAY,894069
FPAYW,323485
FPF,203017
FPH,314297
FPI,103587
FPI$B,9658
FPL,111345
FPRX,3559258
FPXE,6373
FPXI,63216
FR,1684959
FRA,275489
FRAF,46126
FRAN,1672707
FRBA,221209
FRBK,1097867
FRC,2019896
FRC$F,1146
FRC$G,1693
FRC$H,1683
FRC$I,5240
FRC$J,251814
FREQ,1373916
FRG,353002
FRGI,2456499
FRHC,2089462
FRME,1842741
FRO,1947342
FRPH,117442
FRPT,2467961
FRSX,143103
FRT,879369
FRT$C,7758
FRTA,1863805
FSB,141683
FSBC,118588
FSBW,126436
FSCT,3234949
FSD,136444
FSEA,92572
FSFG,33478
FSK,3391100
FSLR,8010590
FSLY,2264766
FSM,3506402
FSRV,0
FSRVU,326874
FSRVW,4400
FSS,617626
FSTR,236233
FSV,823637
FSZ,8041
FT,47514
FTA,136789
FTAC,72437
FTACU,1003
FTACW,70296
FTAG,3073
FTAI,479876
FTAI$A,3553
FTAI$B,70770
FTC,58819
FTCH,5143489
FTCS,709619
FTDR,4282736
FTEK,303219
FTEO,2459
FTFT,1026539
FTGC,49386
FTHI,25146
FTI,7521555
FTK,623113
FTLB,6580
FTNT,9852118
FTR,26328720
FTRI,11282
FTS,1025113
FTSI,848349
FTSL,395049
FTSM,882453
FTSV,9973167
FTV,4067972
FTV$A,1779
FTXD,9095
FTXG,34445
FTXH,4138
FTXL,22250
FTXN,3145
FTXO,123304
FTXR,544
FUL,720318
FULC,258417
FULT,7165480
FUN,662413
FUNC,126543
FUND,138329
FUSB,49501
FUTU,786960
FUV,911629
FV,361380
FVC,56943
FVCB,272067
FVE,165339
FVEVV,6895
FVRR,625174
FWONA,763998
FWONK,4628732
FWP,310246
FWRD,1308399
FXNC,18075
FYC,45215
FYT,30749
FYX,67136
G,2501556
GAB,554213
GAB$D,54125
GAB$G,2612
GAB$H,1184
GAB$J,318
GAB$K,11259
GABC,488952
GAIA,401197
GAIN,1375482
GAINL,17150
GAINM,19145
GALT,1698588
GAM,24248
GAM$B,3070
GARS,443094
GASS,269201
GATX,542607
GBAB,26078
GBCI,2822156
GBDC,6626455
GBL,26133
GBLI,110682
GBLIL,27116
GBLIZ,34518
GBT,8980401
GBX,586685
GCAP,163108
GCBC,24249
GCI,2873092
GCO,1088613
GCP,588831
GCV,63432
GCVRZ,1550317
GD,3612042
GDDY,3921478
GDEN,563897
GDI,2251132
GDL,50159
GDL$C,100
GDO,18064
GDOT,2164547
GDS,6692980
GDV,390141
GDV$A,1915
GDV$D,16314
GDV$G,225
GDV$H,705
GE,86415638
GEC,117112
GECC,244509
GECCL,12566
GECCM,9207
GECCN,30495
GEF,444835
GEF.B,23769
GEL,1432915
GEMP,651142
GEN,167590
GENC,145415
GENE,255672
GENY,29157
GEO,2725389
GEOS,541379
GER,723120
GERN,5604044
GES,3375605
GEVO,660707
GF,14407
GFED,48021
GFF,397482
GFI,18110564
GFN,263375
GFNCP,1832
GFNSL,9429
GFY,13501
GGAL,11099366
GGB,23019547
GGG,1524762
GGM,74833
GGT,62539
GGT$B,2440
GGT$E,4152
GGT$G,3440
GGZ,16016
GGZ$A,950
GH,7439310
GHC,23864
GHG,117607
GHL,355532
GHM,45246
GHSI,15588987
GHY,178810
GIB,349077
GIFI,288379
GIGE,2441
GIGM,84411
GIII,5821414
GIL,1589488
GILD,56439980
GILT,131595
GIM,753811
GIS,9574786
GIX,406
GIX.R,7024
GIX.U,8399
GIX.W,31400
GJH,400
GJO,0
GJP,0
GJR,18
GJS,400
GJT,0
GJV,13533
GKOS,749220
GL,1289875
GL$C,11734
GLAD,841556
GLADD,15947
GLADL,14475
GLBS,603000
GLBZ,7122
GLDD,2823223
GLDI,29961
GLEO,56800
GLEO.U,1000
GLEO.W,34665
GLG,1919378
GLIBA,3680066
GLIBP,26588
GLMD,867874
GLNG,6866563
GLOB,623741
GLOG,961469
GLOG$A,602
GLOP,456512
GLOP$A,6496
GLOP$B,5876
GLOP$C,9736
GLP,182455
GLP$A,1618
GLPG,1240583
GLPI,7592601
GLRE,2209910
GLT,340036
GLUU,16849187
GLW,11689181
GLYC,1565157
GM,17584008
GMAB,2622207
GMDA,310829
GME,13854907
GMED,837808
GMHI,25802
GMHIU,31500
GMHIW,1349
GMLP,3084343
GMLPP,45215
GMRE,967292
GMRE$A,1348
GMS,1130002
GMTA,6704
GMZ,515789
GNC,1257767
GNCA,484375
GNE,150039
GNE$A,1021
GNFT,635629
GNK,362100
GNL,940817
GNL$A,6287
GNL$B,33378
GNLN,1894538
GNMA,41188
GNMK,1889982
GNMX,6443183
GNOM,23159
GNPX,1728804
GNRC,1000171
GNSS,484489
GNT,43081
GNT$A,60
GNTX,12070868
GNTY,158475
GNUS,2476214
GNW,8603968
GO,3308740
GOF,190169
GOGL,1660853
GOGO,8806817
GOL,1908024
GOLD,20051983
GOLF,385330
GOOD,1508892
GOODM,15504
GOODN,30021
GOOG,11234117
GOOGL,10273253
GOOS,3619312
GOSS,6304478
GPAQ,55695
GPAQU,300
GPAQW,53003
GPC,1359596
GPI,351229
GPJA,12043
GPK,5142554
GPM,98173
GPMT,409817
GPN,4098451
GPOR,31773829
GPP,465964
GPRE,4927081
GPRK,370249
GPRO,18890947
GPS,14752984
GPX,60996
GRA,932660
GRAF,24634
GRAF.U,724
GRAF.W,11668
GRAM,115532
GRBK,844074
GRC,121415
GRFS,6210325
GRID,6292
GRIF,28918
GRIN,48722
GRMN,8031953
GRNQ,191789
GRNV,21662
GRNVR,25382
GRNVU,131607
GRNVW,96000
GROW,136364
GRP.U,8101
GRPN,38178594
GRSH,858661
GRSHU,6500
GRSHW,56901
GRTS,1771139
GRTX,629375
GRUB,6619104
GRVY,315114
GRWG,630713
GRX,39650
GRX$A,3237
GRX$B,714
GS,5602150
GS$A,51244
GS$C,5945
GS$D,52344
GS$J,33839
GS$K,24819
GS$N,29317
GSAH,3831670
GSAH.U,36598
GSAH.W,190168
GSBC,238901
GSBD,222733
GSH,71630
GSHD,1429670
GSIT,179379
GSK,6926622
GSKY,4408016
GSL,64412
GSL$B,3715
GSLD,50251
GSM,2142330
GSUM,409770
GSX,3232425
GT,18447957
GTEC,34086
GTES,750234
GTHX,3000814
GTIM,282371
GTLS,3712963
GTN,1411193
GTN.A,279
GTS,432858
GTT,1535347
GTX,2132111
GTY,203224
GTYH,1403923
GULF,11611
GURE,98957
GUT,202023
GUT$A,580
GUT$C,199
GVA,2509600
GVP,173529
GWB,566649
GWGH,30336
GWPH,3461082
GWR,1294741
GWRE,3265992
GWRS,176321
GWW,1136827
GXGX,73344
GXGXU,12915
GXGXW,17000
GXTG,4644
GYB,100
GYC,929
GYRO,11751
H,1613608
HA,4006014
HABT,1790019
HAE,817152
HAFC,1415253
HAIN,5305951
HAL,26482764
HALL,612537
HALO,10810828
HAPP,65489
HARP,882354
HAS,8668903
HASI,783285
HAYN,693460
HBAN,56023681
HBANN,16462
HBANO,274860
HBB,116948
HBCP,136542
HBI,13462988
HBIO,209317
HBM,1263863
HBMD,204541
HBNC,706647
HBP,241656
HBT,1783408
HCA,3598313
HCAC,87528
HCACU,43217
HCACW,8523
HCAP,65848
HCAPZ,5198
HCAT,1879674
HCC,2116250
HCCH,206564
HCCHR,369521
HCCHU,400
HCCHW,435512
HCCI,345193
HCCOU,994199
HCFT,43218
HCHC,137973
HCI,66544
HCKT,979513
HCM,1332707
HCR,1064638
HCSG,4989979
HCXY,3506
HCXZ,1000
HD,10764088
HDB,3026293
HDS,9949207
HDSN,2064805
HE,858196
HEAR,2085854
HEBT,1295273
HEES,1644470
HEI,1631843
HEI.A,711750
HELE,1207381
HEP,876194
HEPA,2067784
HEQ,76744
HERD,735
HERO,7316
HES,6607607
HESM,320815
HEWG,195739
HEXO,5723544
HFBL,3056
HFC,4230310
HFFG,1383836
HFRO,430050
HFRO$A,25622
HFWA,1639007
HGH,44019
HGLB,102453
HGSH,25167
HGV,1417003
HHC,655001
HHHH,36111
HHHHR,36508
HHHHU,18924
HHHHW,11762
HHR,694651
HHS,8211
HHT,851942
HI,1031895
HIBB,4763783
HIE,79698
HIFS,24402
HIG,4639006
HIG$G,9685
HIHO,51410
HII,662633
HIIQ,5484616
HIL,108653
HIMX,2780260
HIO,501120
HIW,1326885
HIX,398160
HJLI,383328
HJLIW,22044
HJV,7140
HKIB,20759
HL,21577967
HL$B,10
HLAL,35977
HLF,1620563
HLG,57182
HLI,436433
HLIO,571209
HLIT,4276991
HLNE,1040498
HLT,4371663
HLX,2405064
HMC,806795
HMHC,3410014
HMI,788999
HMLP,96131
HMLP$A,27929
HMN,373234
HMNF,16564
HMST,1288954
HMSY,4555257
HMTV,247993
HMY,15413980
HNDL,15268
HNGR,450514
HNI,384825
HNNA,83022
HNP,40395
HNRG,570550
HOFT,654477
HOG,3878569
HOLI,1695555
HOLX,13144873
HOMB,6442746
HOME,7037224
HON,5659380
HONE,1782926
HOOK,1281477
HOPE,6054700
HOS,92825
HOTH,140229
HOV,482063
HOVNP,26401
HP,5328066
HPE,15622929
HPF,37207
HPI,33244
HPP,2503172
HPQ,18204166
HPR,1278178
HPS,42442
HQH,196023
HQI,81806
HQL,101624
HQY,6861455
HR,1846281
HRB,8283955
HRC,941626
HRI,463037
HRL,4865554
HROW,920611
HRTG,198276
HRTX,8984434
HRZN,571603
HSAC,381889
HSACU,2840
HSACW,353623
HSBC,6638698
HSBC$A,93321
HSC,1036735
HSDT,5006359
HSIC,11656477
HSII,1000951
HSKA,562551
HSON,20404
HST,15770984
HSTM,2056369
HSY,1943224
HT,734777
HT$C,10038
HT$D,9273
HT$E,8391
HTA,3791464
HTBI,420032
HTBK,4288809
HTBX,726693
HTD,30492
HTFA,466
HTGC,701548
HTGM,1315966
HTH,860271
HTHT,9242077
HTIA,148224
HTLD,2674635
HTLF,836977
HTY,38602
HTZ,4182565
HUBB,524199
HUBG,1857190
HUBS,1756687
HUD,249881
HUM,2909583
HUN,4839959
HURC,135523
HURN,674288
HUYA,9780054
HVBC,18186
HVT,167380
HVT.A,614
HWBK,54712
HWC,5958200
HWCC,310197
HWCPL,31157
HWKN,321068
HX,1537048
HXL,1467000
HY,185704
HYAC,78674
HYACU,28323
HYACW,3697
HYB,157248
HYI,37768
HYLS,312951
HYND,17479
HYRE,832699
HYT,705494
HYXE,30019
HYZD,65611
HZN,43795
HZNP,9498651
HZO,435680
I,14621596
IAA,2085148
IAC,7508397
IAE,75949
IAG,6873881
IART,3191264
IBA,15960
IBB,18059615
IBCP,737860
IBKC,3128877
IBKCN,27787
IBKCO,7622
IBKCP,11244
IBKR,4230269
IBM,5930418
IBN,11797183
IBOC,1936089
IBP,427588
IBTX,4156403
IBUY,139709
ICAD,448549
ICBK,68002
ICCC,139954
ICCH,9465
ICD,296174
ICE,8066947
ICFI,769954
ICHR,2076660
ICL,111906
ICLK,1314484
ICLN,1192313
ICLR,1740346
ICMB,259442
ICON,378312
ICPT,5025780
ICUI,1290378
IDA,680189
IDCC,2431128
IDE,78766
IDEX,1894114
IDLB,23608
IDRA,1403015
IDSA,338500
IDT,286864
IDXG,1253604
IDXX,4111030
IDYA,186319
IEA,161479
IEAWW,1003049
IEF,15516027
IEI,2657581
IEP,442664
IESC,175637
IEUS,18277
IEX,1167947
IFEU,18432
IFF,5564594
IFFT,224308
IFGL,135921
IFMK,2230236
IFN,129335
IFRX,2638088
IFS,100072
IFV,90727
IGA,35399
IGD,476527
IGF,817600
IGI,20703
IGIB,1707762
IGMS,1634319
IGOV,244598
IGR,273596
IGSB,2261763
IGT,2754703
IHC,7657
IHD,60591
IHG,294669
IHIT,56316
IHRT,1697230
IHTA,20287
IID,30589
IIF,65330
III,593621
IIIN,940694
IIIV,1139043
IIM,57395
IIN,566335
IIPR,806588
IIPR$A,816
IIVI,10288602
IJT,162132
IKNX,16907
ILMN,6482166
ILPT,14111712
IMAC,507217
IMACW,8482
IMAX,502915
IMBI,308374
IMGN,19555164
IMKTA,715321
IMMP,150087
IMMR,1906637
IMMU,20312296
IMOS,82781
IMRN,98776
IMRNW,25788
IMTE,25641
IMUX,130844
IMV,103194
IMVT,152634
IMVTU,10164
IMVTW,251411
IMXI,1928134
INAP,1505141
INB,96605
INBK,190597
INBKL,6723
INBKZ,12363
INCY,12304534
INDB,1554226
INDY,227057
INF,46288
INFI,373285
INFN,14683016
INFO,5495910
INFR,25548
INFY,23482234
ING,8098790
INGN,2274502
INGR,1348907
INMB,95250
INMD,8642845
INN,1189537
INN$D,127
INN$E,7700
INNT,3189575
INO,5729075
INOD,93745
INOV,3928976
INPX,187005411
INSE,73595
INSG,9401206
INSI,20200
INSM,6737565
INSP,408212
INST,3112777
INSU,29755
INSUU,20800
INSUW,2518
INSW,400025
INSW$A,906
INT,662955
INTC,150851361
INTG,1008
INTL,968886
INTU,11057926
INVA,5631789
INVE,266897
INVH,10511938
INWK,1000311
INXN,2873335
IO,282500
IONS,7090210
IOSP,897849
IOTS,2026229
IOVA,9112581
IP,7769840
IPAR,800725
IPDN,0
IPG,5751201
IPGP,3158094
IPHA,122914
IPHI,1244457
IPHS,1418671
IPI,1022133
IPKW,34597
IPLDP,39738
IPWR,210779
IQ,37114488
IQI,32348
IQV,3290270
IR,3819086
IRBT,7887191
IRCP,71800
IRDM,4247050
IRET,168171
IRET$C,579
IRIX,185866
IRL,13640
IRM,4263459
IRMD,422299
IROQ,12266
IRR,116789
IRS,147835
IRT,715078
IRTC,2933238
IRWD,11617658
ISBC,11574849
ISD,142824
ISDS,604
ISDX,25088
ISEE,8349351
ISEM,10339
ISG,34368
ISHG,7375
ISIG,74610
ISNS,19800
ISRG,4254736
ISSC,286728
ISTB,439244
ISTR,128916
IT,1338810
ITCB,10042
ITCI,28605478
ITGR,332426
ITI,1074000
ITIC,66762
ITMR,80657
ITRI,2005527
ITRM,3379128
ITRN,427728
ITT,1426476
ITUB,42706531
ITW,3088119
IUS,43095
IUSB,403536
IUSG,1492955
IUSS,13629
IUSV,1454024
IVAC,198420
IVC,702738
IVH,70656
IVR,2545998
IVR$A,7785
IVR$B,96833
IVR$C,15867
IVZ,11288206
IX,49620
IXUS,2624186
IZEA,1089520
J,1366557
JACK,4006951
JAG,4439784
JAGX,1838346
JAKK,619070
JAN,156175
JASN,5071992
JAX,35023
JAZZ,3753078
JBGS,1263411
JBHT,7409026
JBK,100
JBL,3620043
JBLU,25659995
JBN,7982
JBR,1368
JBSS,723639
JBT,367310
JCAP,402148
JCAP$B,274
JCE,36840
JCI,14587638
JCO,38523
JCOM,3344683
JCP,8433778
JCS,1384310
JCTCF,17578
JD,59521873
JDD,35816
JE,997950
JE$A,27187
JEC,1140880
JEF,2459655
JELD,802275
JEMD,49063
JEQ,22802
JFIN,78696
JFK,131756
JFKKR,228845
JFKKU,1300
JFKKW,83669
JFR,309638
JFU,167502
JG,509456
JGH,25566
JHAA,8611
JHB,24946
JHG,1936944
JHI,13105
JHS,29899
JHX,17190
JHY,21091
JIH,10
JIH.U,25021
JIH.W,46200
JILL,801600
JJSF,749903
JKHY,3250647
JKI,17711
JKS,2364885
JLL,582046
JLS,41054
JMEI,277041
JMF,442924
JMIA,1446120
JMLP,79937
JMM,6251
JMP,31609
JMPD,2015
JMPE,23013
JMT,8940
JMU,356516
JNCE,6821502
JNJ,9280653
JNPR,6196377
JOBS,1386271
JOE,874544
JOF,78249
JOUT,389249
JP,44805
JPC,119461
JPI,34949
JPM,26159961
JPM$C,50724
JPM$D,43966
JPM$F,108888
JPM$G,51402
JPM$H,92225
JPM$J,168575
JPS,542597
JPT,1788
JQC,1059500
JRI,60462
JRJC,597132
JRO,191914
JRS,49433
JRSH,54775
JRVR,2258279
JSD,87756
JSM,93359
JSMD,51139
JSML,107795
JT,544122
JTA,36813
JTD,23342
JVA,123790
JW.A,674645
JW.B,1476
JWN,6502468
JYNT,969433
K,3575350
KAI,180626
KALA,3296800
KALU,974398
KALV,1096618
KAMN,379803
KAR,3939215
KB,302550
KBAL,879916
KBH,3220513
KBLM,27268
KBLMR,257015
KBLMU,1177
KBLMW,730331
KBR,2368184
KBSF,67811
KBWB,1096572
KBWD,148059
KBWP,31960
KBWR,10139
KBWY,144935
KCAPL,14043
KDMN,2472315
KDP,3874285
KE,455296
KELYA,1595462
KELYB,1234
KEM,2175627
KEN,544
KEP,247713
KEQU,71894
KERN,1544908
KERNW,1020090
KEX,1114417
KEY,18903287
KEY$I,35718
KEY$J,9688
KEY$K,19186
KEYS,3451699
KF,7499
KFFB,16221
KFRC,1651215
KFS,72488
KFY,1025249
KGC,17431274
KGJI,110328
KHC,44003940
KIDS,801774
KIM,7763063
KIM$J,5017
KIM$L,2822
KIM$M,9580
KIN,673120
KINS,313547
KIO,41434
KIRK,4263233
KKR,6229087
KKR$A,6227
KKR$B,4057
KL,2667715
KLAC,10315065
KLDO,1210216
KLIC,2666928
KLXE,4440501
KMB,2710574
KMDA,302227
KMF,430160
KMI,18921723
KMPH,2956074
KMPR,586722
KMT,1645725
KMX,4722931
KN,1325962
KNDI,728488
KNL,621329
KNOP,105962
KNSA,2095158
KNSL,1587438
KNX,4264345
KO,19994036
KOD,8874900
KODK,451980
KOF,226361
KOP,368901
